imdb_title_id,title,year,genre,language
tt0007338,Sherlock Holmes,1916,Mystery,English
tt0012382,Leap Year,1924,Comedy,English
tt0013590,The Seventh Day,1922,"Drama, Romance",
tt0013597,Sherlock Holmes,1922,"Drama, Mystery",English
tt0013704,The Trap,1922,Drama,English
tt0015136,Michael,1924,"Drama, Romance",
tt0015684,The Circle,1925,Drama,English
tt0016123,The Monster,1925,"Comedy, Horror, Mystery",English
tt0016338,She,1925,"Adventure, Fantasy, Sci-Fi",English
tt0018397,The Show,1927,"Crime, Drama",English
tt0018455,Aurora,1927,"Drama, Romance",English
tt0020144,Marianne,1929,Drama,English
tt0020640,Animal Crackers,1930,"Comedy, Musical",English
tt0020701,Borderline,1930,Drama,
tt0020785,Conspiracy,1930,Mystery,English
tt0021324,Runaway Bride,1930,"Crime, Drama, Romance",English
tt0021814,Dracula,1931,"Drama, Fantasy, Horror","English, Hungarian, Latin"
tt0022279,Private Lives,1931,"Comedy, Drama, Romance","English, French, German"
tt0022913,Freaks,1932,"Drama, Horror","English, German, French"
tt0022958,Grand Hotel,1932,"Drama, Romance","English, Russian"
tt0023460,Sherlock Holmes,1932,Drama,English
tt0023818,Blood Money,1933,"Drama, Film-Noir, Romance",English
tt0024631,Supernatural,1933,"Horror, Mystery, Thriller",English
tt0024897,Blind Date,1934,"Comedy, Romance",English
tt0025465,Maniac,1934,Horror,English
tt0027635,Forget Me Not,1936,"Drama, Romance",English
tt0027669,Ghost Patrol,1936,"Crime, Romance, Sci-Fi",English
tt0028331,Sweeney Todd: The Demon Barber of Fleet Street,1936,"Drama, Horror",English
tt0029064,Jericho,1937,"Drama, Musical, Adventure",English
tt0029210,Sherlock Holmes,1937,"Comedy, Crime, Romance",German
tt0029588,Hollywood,1937,"Comedy, Musical",English
tt0029982,The Challenge,1938,"Adventure, History, Romance",English
tt0030169,Gangs of New York,1938,"Crime, Drama",English
tt0031177,Conspiracy,1939,"Action, Adventure, Drama","English, Esperanto"
tt0031394,The Green Hornet,1940,"Adventure, Crime, Drama",English
tt0032258,Black Friday,1940,"Crime, Drama, Horror",English
tt0033214,Up in the Air,1940,"Action, Comedy, Music",English
tt0033910,Million Dollar Baby,1941,"Comedy, Romance",English
tt0034828,The Hard Way,1943,"Drama, Musical, Romance",English
tt0035423,Kate & Leopold,2001,"Comedy, Fantasy, Romance","English, French"
tt0035692,Border Patrol,1943,Western,English
tt0035798,Desperados,1943,"Action, Comedy, Drama",English
tt0035916,Banana Split,1943,"Comedy, Musical, Romance","English, Portuguese"
tt0035969,Happy Go Lucky,1943,"Comedy, Musical",English
tt0036323,Sahara,1943,"Action, Drama, War","English, German, Italian, French"
tt0036757,Destiny,1944,"Crime, Drama, Fantasy",English
tt0037638,Detour,1945,"Crime, Drama, Film-Noir",English
tt0038285,Accomplice,1946,"Film-Noir, Mystery, Thriller",English
tt0039829,Singapore,1947,"Action, Adventure, Crime",English
tt0039912,The Trap,1946,"Comedy, Crime, Mystery",English
tt0041161,Barsaat,1949,"Drama, Romance, Musical",Hindi
tt0041414,Gigi,1949,"Comedy, Romance",French
tt0042578,Hot Rod,1950,"Action, Drama",English
tt0043418,Cloudburst,1951,Mystery,English
tt0043669,I'll See You in My Dreams,1951,"Biography, Comedy, Musical",English
tt0043899,Pandora,1951,"Drama, Fantasy, Mystery","English, Spanish"
tt0044112,Teresa,1951,Drama,"English, Italian"
tt0044614,The Fighter,1952,"Drama, Film-Noir, Sport",English
tt0044696,Heidi,1952,"Drama, Family","German, Swiss German"
tt0044761,Jaal,1952,"Crime, Thriller",Hindi
tt0045091,The Ring,1952,Drama,"English, Spanish"
tt0046130,No Escape,1953,"Crime, Drama, Film-Noir",English
tt0046703,Amar,1954,"Drama, Musical, Romance",Hindi
tt0047034,Godzilla,1954,"Action, Drama, Horror",Japanese
tt0047437,Sabrina,1954,"Comedy, Drama, Romance","English, French"
tt0047484,Versailles,1954,"Comedy, Drama, History",French
tt0047561,Taxi Driver,1954,"Musical, Romance",Hindi
tt0048166,High Society,1955,Comedy,English
tt0049091,Congo,1956,"Adventure, Crime, Drama",English
tt0051346,Alive and Kicking,1958,Comedy,English
tt0051658,Gigi,1958,"Comedy, Musical, Romance","English, French"
tt0053965,Jis Desh Men Ganga Behti Hai,1960,"Drama, Musical, Romance",Hindi
tt0054331,Spartacus,1960,"Adventure, Biography, Drama",English
tt0055401,Samson,1961,"Drama, Romance, War",Polish
tt0056193,Lolita,1962,"Crime, Drama, Romance","English, French, Spanish, German"
tt0056379,Professor,1962,"Comedy, Drama, Musical",Hindi
tt0057120,Gumrah,1963,"Drama, Romance",Hindi
tt0058385,My Fair Lady,1964,"Drama, Family, Musical",English
tt0058547,Sangam,1964,"Drama, Musical, Romance",Hindi
tt0059259,Heidi,1965,"Drama, Family",German
tt0059448,Mirage,1965,"Mystery, Thriller",English
tt0059924,Yankee,1966,Western,Italian
tt0060104,Amrapali,1966,"Musical, Fantasy",Hindi
