imdbTitle_ID,vote_sum,votes_10,votes_9,votes8,votes_7
tt0002199,484,33,15,48,80
tt0005809,300,163,22,8,5
tt0006753,147,11,11,16,47
tt0007338,313,24,14,35,67
tt0012382,268,11,12,35,54
tt0013590,101,48,8,10,10
tt0013597,551,38,25,31,76
tt0013704,118,25,1,7,21
tt0014108,144,14,13,27,51
tt0015136,1540,134,148,392,461
tt0015684,491,132,9,57,88
tt0016123,906,66,30,97,220
tt0016308,483,47,22,89,140
tt0016338,113,10,5,8,22
tt0017448,1945,184,177,462,606
tt0018397,498,30,32,100,174
tt0018455,46069,11415,8080,11816,7259
tt0018742,10101,2354,2047,2915,1579
tt0019325,168,6,3,23,28
tt0020144,385,56,85,198,7
tt0020640,13341,1829,1907,4009,3095
tt0020661,106,9,2,10,12
tt0020701,410,31,25,54,77
tt0020785,104,5,4,10,20
tt0020894,200,50,19,25,37
tt0021106,838,64,55,142,199
tt0021324,208,5,8,12,15
tt0021681,111,8,7,10,23
tt0021697,251,17,13,22,39
tt0021814,45054,6790,5614,12263,11514
tt0022074,3148,601,551,755,608
tt0022198,412,142,42,154,17
tt0022279,1049,96,87,206,300
tt0022425,295,12,8,32,61
tt0022440,280,21,12,30,63
tt0022775,888,56,60,178,280
tt0022913,41173,7167,7248,12791,7980
tt0022958,16927,2459,1981,4625,4377
tt0022987,506,40,20,59,120
tt0023139,355,20,25,51,111
tt0023247,103,6,1,6,9
tt0023460,131,9,6,11,9
tt0023818,298,21,32,60,87
tt0023838,435,47,28,85,121
tt0024219,132,16,11,13,38
tt0024631,541,32,23,60,114
tt0024897,207,17,6,15,53
tt0025043,164,12,14,30,34
tt0025465,2100,110,37,69,124
tt0025590,865,150,119,235,197
tt0026073,1528,92,69,237,544
tt0026289,285,12,4,32,69
tt0026778,30030,6445,5727,8577,4771
tt0027050,397,67,21,59,112
tt0027635,120,9,3,15,25
tt0027669,159,10,3,3,6
tt0027818,203,11,10,28,55
tt0027862,107,4,2,12,29
tt0028331,813,70,30,65,161
tt0028455,161,63,7,15,29
tt0028509,349,39,18,43,120
tt0028618,162,5,5,13,38
tt0028739,1302,100,56,207,399
tt0029064,215,14,1,19,57
tt0029210,676,68,77,163,196
tt0029446,195,5,10,14,25
tt0029588,772,59,34,74,209
tt0029744,111,20,10,18,32
tt0029976,117,20,4,16,27
tt0029982,157,7,9,24,37
tt0030169,104,16,2,14,27
tt0030696,4682,318,281,702,1489
tt0030985,133,10,3,10,23
tt0031045,404,33,28,33,85
tt0031177,108,2,1,10,13
